Year,priceChange
2012,152.37191650853893
2013,5692.7819548872185
2014,-59.254452001453714
2015,38.54485219164118
2016,129.39621079738802
2017,1244.3494472230852
2018,-71.15014121218809
2019,85.76187436522315
2020,308.9006677796327
2021,27.044636289465974
